timestamp,evento
284468,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
285430,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
287590,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
288747,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
289612,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
290246,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
290673,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
291656,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
293113,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
293462,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
294454,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
296556,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
297864,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
298444,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
299710,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
300287,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
300374,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
301594,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
302005,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
302154,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
303499,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
303777,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
305010,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
305903,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
306292,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
307258,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
309993,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
310110,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
311861,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
311965,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
313024,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
313613,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
314541,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
314617,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
315269,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
316045,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
317230,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
318976,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
319953,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
320948,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
321252,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
322614,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
325390,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
326483,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
327548,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
328484,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
330055,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
330220,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
330996,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
331942,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
333701,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
334528,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
334617,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
334850,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
336740,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
337430,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
338138,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
339519,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
340396,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
340784,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
340912,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
342247,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
345186,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
345421,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
346697,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
347496,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
348637,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
349168,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
350081,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
350541,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
351198,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
352759,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
353852,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
354037,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
354340,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
355690,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
358703,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
360284,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
360589,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
